# imstats: THELI Pipeline Version: 1.9.5
# imstats: called at 2020-09-18T12:26:00
# imstats: estimating statistics in
# 1200 < x < 1600, 400 < y < 600 within -80000.000000 < pixvalue < 80000.000000
#
# imstats: filename	mode	lquartile	median	uquartile	mean	sigma	min	max	goodpix	goodpix/percent
FLATLIN_0.95s.fits	59922.18	59730.00	59924.00	60119.00	59929.31	287.21	58595.00	61067.00	80000	100.00
FLATLIN_0.9s-1.fits	57049.26	56864.00	57049.00	57239.00	57056.05	273.54	55702.00	58169.00	80000	100.00
FLATLIN_0.9s_diff.fits	-208.47	-391.00	-210.00	-17.00	-214.05	269.48	-1376.00	1038.00	80000	100.00
FLATLIN_0.9s.fits	56842.00	56657.00	56845.00	57027.00	56842.00	279.76	55753.00	57890.00	80000	100.00
FLATLIN_1.05s-1.fits	65535.00	65535.00	65535.00	65535.00	65533.48	  0.00	64653.00	65535.00	80000	100.00
FLATLIN_1.05s_diff.fits	  0.00	  0.00	  0.00	  0.00	 -0.38	  0.00	-638.00	597.00	80000	100.00
FLATLIN_1.05s.fits	65535.00	65535.00	65535.00	65535.00	65533.10	  0.00	64366.00	65535.00	80000	100.00
FLATLIN_1.0s-1.fits	62951.50	62749.00	62954.00	63154.00	62954.81	302.63	61692.00	64226.00	80000	100.00
FLATLIN_1.0s_diff.fits	-48.00	-243.00	-45.00	147.00	-42.82	291.42	-1211.00	1183.00	80000	100.00
FLATLIN_1.0s.fits	62908.05	62705.00	62907.00	63116.00	62911.99	303.45	61050.00	64184.00	80000	100.00
FLATLIN_1.15s-1.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.15s_diff.fits	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	80000	100.00
FLATLIN_1.15s.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.1s-1.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.1s_diff.fits	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	80000	100.00
FLATLIN_1.1s.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.25s-1.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.25s_diff.fits	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	80000	100.00
FLATLIN_1.25s.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.2s-1.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.2s_diff.fits	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	80000	100.00
FLATLIN_1.2s.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.3s-1.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
FLATLIN_1.3s_diff.fits	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	  0.00	80000	100.00
FLATLIN_1.3s.fits	65535.00	65535.00	65535.00	65535.00	65535.00	  0.00	65535.00	65535.00	80000	100.00
